id,occurred_at,district,region,severity,latitude,longitude,accident_type,casualties,vehicles_involved,weather,source
39,9/27/2025 0:07,Chornomorsk,Odeska,2,46.25491,23.015096,hit_and_run,1,3,rain,Opendatabot
40,2/13/2022 2:19,Lozova,Kharkivska,2,45.948428,24.380929,pedestrian,5,4,clear,Telegram
41,12/1/2019 18:36,Odesa,Odeska,2,45.898268,32.582048,collision,3,1,snow,OSM
42,9/8/2019 8:35,Berehove,Zakarpatska,1,45.604499,27.248826,other,3,4,snow,OSM
43,7/20/2020 9:30,Obukhiv,Kyivska,3,48.937811,24.493248,collision,3,1,storm,Opendatabot
44,5/15/2021 20:03,Dnipro,Dniprovska,3,47.98173,38.928451,hit_and_run,1,4,snow,Opendatabot
45,4/28/2020 12:05,Irpin,Kyivska,2,49.429517,22.570468,pedestrian,0,1,snow,Opendatabot
46,3/11/2024 7:29,Odesa,Odeska,2,46.221279,29.802509,rollover,3,3,storm,Telegram
47,4/25/2024 2:18,Chuhuiv,Kharkivska,1,46.827756,27.565726,hit_and_run,4,3,storm,OSM
48,11/20/2023 2:48,Kharkiv,Kharkivska,1,49.873183,33.814171,other,0,3,rain,Opendatabot
49,7/13/2023 16:22,Kamianske,Dniprovska,3,44.476692,35.941587,other,3,2,fog,Opendatabot
50,11/25/2025 19:40,Mukachevo,Zakarpatska,3,52.499795,31.236,pedestrian,3,2,clear,Opendatabot
51,8/16/2020 18:19,Vinnytsia,Vinnytska,3,47.259974,33.969788,collision,2,3,rain,Opendatabot
52,12/31/2022 4:27,Bilhorod-Dnistrovskyi,Odeska,3,47.901322,32.408281,other,3,3,storm,OSM
53,3/15/2020 22:39,Chuhuiv,Kharkivska,3,44.019597,26.382712,rollover,4,2,snow,OSM
54,8/11/2023 2:44,Kharkiv,Kharkivska,1,48.356394,37.573627,other,3,4,snow,Opendatabot
55,5/22/2021 11:14,Vinnytsia,Vinnytska,1,48.278294,27.944378,other,4,4,rain,OSM
56,1/24/2019 6:55,Lozova,Kharkivska,3,48.610311,23.596915,collision,3,4,storm,OSM
57,11/26/2020 21:54,Kamianske,Dniprovska,3,52.413606,33.548075,other,5,3,rain,Opendatabot
58,11/3/2024 6:56,Zolochiv,Lvivska,2,49.72516,38.484488,other,3,2,clear,Opendatabot
59,12/4/2021 15:42,Obukhiv,Kyivska,1,47.65093,38.967302,other,2,4,storm,OSM
60,3/31/2021 23:15,Berehove,Zakarpatska,1,47.471766,27.484153,rollover,3,2,fog,Telegram
61,3/27/2021 2:08,Obukhiv,Kyivska,1,46.507562,29.380752,rollover,4,3,storm,Opendatabot
62,11/21/2021 3:25,Chornomorsk,Odeska,1,52.479757,34.898665,hit_and_run,1,4,snow,Opendatabot
63,12/22/2023 10:33,Kharkiv,Kharkivska,3,51.161408,34.373609,collision,1,2,clear,OSM
64,4/29/2021 20:07,Brovary,Kyivska,1,45.082662,36.320393,rollover,3,4,rain,OSM
65,6/16/2025 17:52,Zhmerynka,Vinnytska,2,49.288521,35.037019,pedestrian,1,1,storm,OSM
66,5/30/2023 9:29,Vinnytsia,Vinnytska,1,50.504113,37.25655,rollover,1,2,clear,OSM
67,7/25/2024 5:30,Irpin,Kyivska,1,52.20241,24.341174,hit_and_run,1,1,fog,Telegram
68,7/22/2021 9:29,Odesa,Odeska,1,47.775174,38.611918,other,4,1,rain,OSM
69,8/11/2025 18:52,Vinnytsia,Vinnytska,1,44.611778,33.273806,collision,4,4,clear,Telegram
70,8/8/2024 19:41,Berehove,Zakarpatska,3,50.831749,39.197415,collision,2,2,fog,Telegram
71,5/25/2020 7:26,Zolochiv,Lvivska,1,49.909228,36.507512,other,2,3,rain,Opendatabot
72,10/17/2025 22:28,Dnipro,Dniprovska,2,49.465473,38.094613,pedestrian,5,2,snow,Opendatabot
73,8/30/2024 10:33,Vinnytsia,Vinnytska,3,48.309571,23.526354,hit_and_run,3,4,fog,Telegram
74,3/12/2021 11:11,Dnipro,Dniprovska,3,49.940118,39.42317,hit_and_run,2,3,clear,Telegram
75,6/13/2025 3:42,Mukachevo,Zakarpatska,2,47.572764,34.295651,rollover,4,4,fog,Opendatabot
76,1/30/2025 13:27,Haisyn,Vinnytska,1,48.94587,31.28057,hit_and_run,4,3,fog,Telegram
77,11/1/2021 11:18,Mukachevo,Zakarpatska,2,50.360298,34.178699,pedestrian,3,4,snow,Telegram
78,2/9/2022 15:26,Lviv,Lvivska,3,48.948626,38.597478,collision,5,2,snow,Telegram
79,12/19/2024 9:18,Mukachevo,Zakarpatska,1,48.997299,30.713547,rollover,3,4,storm,OSM
80,10/23/2025 15:33,Lviv,Lvivska,2,47.995291,31.192671,other,3,2,fog,OSM
81,12/9/2020 6:49,Chornomorsk,Odeska,2,45.700281,26.648847,rollover,3,2,storm,Opendatabot
82,2/14/2025 19:06,Lozova,Kharkivska,2,47.685773,28.941983,rollover,4,2,storm,OSM
83,12/8/2021 13:33,Uzhhorod,Zakarpatska,2,49.251195,34.350563,pedestrian,0,3,snow,OSM
84,12/15/2025 13:19,Berehove,Zakarpatska,3,47.246335,24.325671,pedestrian,1,1,snow,Telegram
85,5/24/2021 13:09,Mukachevo,Zakarpatska,3,46.069301,30.179029,collision,3,2,rain,Telegram
86,9/24/2023 8:34,Novomoskovsk,Dniprovska,2,52.44649,28.271462,other,4,4,rain,Opendatabot
87,10/18/2020 21:09,Zolochiv,Lvivska,3,47.244198,26.87496,pedestrian,1,2,rain,OSM
88,1/16/2019 9:07,Vinnytsia,Vinnytska,1,45.451792,34.287578,rollover,3,3,snow,Opendatabot
89,1/26/2022 21:35,Bilhorod-Dnistrovskyi,Odeska,1,45.984459,37.029099,collision,4,1,fog,Telegram
90,9/8/2024 9:30,Zhmerynka,Vinnytska,1,49.845896,25.65598,rollover,1,1,rain,OSM
91,8/29/2025 1:16,Dnipro,Dniprovska,2,48.626113,36.563133,collision,5,4,rain,OSM
92,10/18/2024 8:45,Kamianske,Dniprovska,2,48.738255,27.571017,collision,0,3,clear,OSM
93,10/27/2024 14:59,Zolochiv,Lvivska,1,47.179495,24.144118,rollover,3,1,fog,Opendatabot
94,10/15/2021 20:20,Mukachevo,Zakarpatska,1,45.137748,36.307538,other,5,4,fog,Telegram
95,12/28/2024 0:17,Mukachevo,Zakarpatska,2,45.140827,34.300971,pedestrian,1,1,snow,Opendatabot
96,12/23/2024 1:54,Vinnytsia,Vinnytska,2,51.671111,23.84935,collision,0,3,rain,Telegram
97,7/17/2020 18:21,Bilhorod-Dnistrovskyi,Odeska,3,51.308,23.133672,rollover,2,1,clear,Opendatabot
98,9/11/2021 10:45,Novomoskovsk,Dniprovska,3,44.734441,23.200586,collision,1,3,rain,Opendatabot
99,2/25/2025 11:50,Vinnytsia,Vinnytska,1,47.951799,34.445967,hit_and_run,0,4,rain,Telegram
100,10/31/2022 6:05,Chuhuiv,Kharkivska,1,49.884983,27.996391,other,2,1,fog,Telegram
101,12/8/2023 23:24,Novomoskovsk,Dniprovska,3,48.031726,31.823715,collision,4,1,clear,Opendatabot
102,6/15/2025 22:26,Lviv,Lvivska,2,48.178472,30.400701,rollover,1,1,clear,Opendatabot
103,1/2/2020 4:59,Mukachevo,Zakarpatska,3,52.108608,28.548196,pedestrian,0,2,rain,Opendatabot
104,2/15/2022 20:19,Berehove,Zakarpatska,1,44.902852,22.814015,other,2,1,fog,Opendatabot
105,11/21/2022 6:48,Kharkiv,Kharkivska,1,46.758015,24.99359,pedestrian,4,3,clear,Opendatabot
106,12/8/2019 6:44,Kharkiv,Kharkivska,1,45.617542,24.246617,other,5,1,snow,OSM
107,12/22/2025 12:47,Brovary,Kyivska,3,51.716833,28.35435,pedestrian,4,2,snow,Opendatabot
108,2/12/2023 12:22,Vinnytsia,Vinnytska,3,50.838453,35.046101,other,5,4,snow,OSM
109,4/1/2020 20:22,Lozova,Kharkivska,3,45.415624,29.840301,collision,2,4,clear,Opendatabot
110,6/5/2025 15:12,Mukachevo,Zakarpatska,2,44.471885,38.732262,other,3,1,clear,Opendatabot
111,11/11/2020 16:19,Zhmerynka,Vinnytska,1,44.803631,29.030859,collision,0,4,clear,Telegram
112,8/26/2023 7:40,Irpin,Kyivska,2,48.873703,33.751118,rollover,3,1,rain,Opendatabot
113,4/20/2023 16:41,Mukachevo,Zakarpatska,1,52.109174,31.122083,collision,3,1,clear,Telegram
114,4/9/2022 12:41,Kamianske,Dniprovska,3,49.773955,24.748923,collision,5,2,snow,Telegram
115,5/11/2020 2:09,Kamianske,Dniprovska,3,52.279566,33.681423,pedestrian,4,3,snow,Opendatabot
116,4/28/2025 23:25,Zolochiv,Lvivska,2,46.193825,31.421793,other,1,1,fog,OSM
117,5/24/2019 9:59,Zhmerynka,Vinnytska,3,45.889764,26.688934,pedestrian,2,3,snow,OSM
118,8/22/2025 16:48,Chuhuiv,Kharkivska,2,46.726207,28.147587,pedestrian,4,1,clear,Telegram
119,2/24/2019 15:00,Zolochiv,Lvivska,2,46.775014,25.079255,pedestrian,0,3,snow,Telegram
120,12/8/2024 11:57,Novomoskovsk,Dniprovska,1,49.528241,36.405451,hit_and_run,1,4,clear,Telegram
121,12/24/2021 4:03,Bilhorod-Dnistrovskyi,Odeska,1,52.163463,26.091034,other,3,3,snow,Telegram
122,10/21/2024 5:15,Kharkiv,Kharkivska,3,46.25223,24.260296,other,0,1,fog,Opendatabot
123,11/12/2021 15:42,Uzhhorod,Zakarpatska,1,48.487516,33.37834,collision,1,3,snow,Telegram
124,11/12/2022 6:29,Haisyn,Vinnytska,1,44.484141,38.713078,rollover,3,3,snow,OSM
125,2/9/2020 18:31,Zolochiv,Lvivska,1,46.736508,36.469294,pedestrian,3,1,storm,Telegram
126,7/27/2022 6:18,Uzhhorod,Zakarpatska,3,49.407416,34.613929,rollover,2,2,snow,OSM
127,10/22/2024 20:25,Kharkiv,Kharkivska,1,44.896421,38.137529,pedestrian,2,4,snow,Telegram
128,9/15/2021 1:59,Haisyn,Vinnytska,1,45.477131,29.855187,other,3,4,fog,OSM
129,3/4/2022 7:45,Zolochiv,Lvivska,2,49.577895,32.623016,pedestrian,2,2,fog,Opendatabot
130,7/18/2021 15:41,Odesa,Odeska,3,47.869546,27.420387,collision,0,3,fog,Telegram
131,3/30/2019 6:30,Bilhorod-Dnistrovskyi,Odeska,3,50.327836,27.863949,other,1,3,snow,Telegram
132,4/23/2019 1:03,Sokal,Lvivska,2,50.670896,30.467954,rollover,3,2,rain,Telegram
133,10/3/2020 8:15,Uzhhorod,Zakarpatska,3,50.531801,39.708356,hit_and_run,4,3,rain,Telegram
134,1/16/2021 11:11,Vinnytsia,Vinnytska,3,51.361724,35.65265,pedestrian,4,2,clear,OSM
135,6/9/2022 1:36,Mukachevo,Zakarpatska,1,47.185315,23.994422,pedestrian,4,2,fog,Telegram
136,4/16/2024 5:10,Vinnytsia,Vinnytska,2,50.502121,36.09241,rollover,1,1,snow,Telegram
137,3/5/2024 7:50,Vinnytsia,Vinnytska,1,48.964577,34.248567,pedestrian,2,4,rain,OSM
138,7/10/2023 2:18,Berehove,Zakarpatska,2,47.831964,24.291816,other,3,1,rain,Opendatabot
139,9/15/2019 19:57,Dnipro,Dniprovska,3,52.279503,37.522387,collision,1,2,fog,OSM
140,7/10/2024 16:14,Kamianske,Dniprovska,2,49.296847,28.551907,hit_and_run,1,2,clear,OSM
141,10/13/2021 4:54,Haisyn,Vinnytska,3,48.853106,26.728764,collision,4,4,snow,Telegram
142,5/17/2022 16:05,Chornomorsk,Odeska,1,45.446566,35.876253,pedestrian,3,1,clear,Opendatabot
143,3/17/2021 16:59,Haisyn,Vinnytska,2,46.350536,34.123688,other,2,3,rain,Opendatabot
144,3/30/2021 17:54,Obukhiv,Kyivska,2,49.584364,23.66226,collision,4,2,rain,OSM
145,1/19/2021 7:57,Kharkiv,Kharkivska,2,46.09562,23.223176,rollover,0,3,rain,Telegram
146,12/3/2024 12:27,Dnipro,Dniprovska,2,50.409968,24.509092,rollover,0,3,storm,Opendatabot
147,2/21/2024 16:33,Kharkiv,Kharkivska,1,49.006939,31.803839,hit_and_run,0,1,fog,OSM
148,4/25/2023 15:47,Bilhorod-Dnistrovskyi,Odeska,3,51.302831,24.236733,pedestrian,4,2,fog,OSM
149,1/16/2020 2:13,Irpin,Kyivska,1,50.725266,36.98131,rollover,0,1,snow,Telegram
150,11/3/2025 13:05,Haisyn,Vinnytska,1,50.932228,31.523677,other,0,1,snow,Opendatabot
151,3/3/2021 21:06,Lviv,Lvivska,3,46.442512,39.394413,collision,5,2,rain,Telegram
152,5/3/2019 4:58,Uzhhorod,Zakarpatska,2,47.748931,36.600313,rollover,5,2,fog,Opendatabot
153,6/12/2020 17:01,Bilhorod-Dnistrovskyi,Odeska,2,47.205811,29.697297,pedestrian,1,1,rain,Opendatabot
154,12/18/2021 21:00,Irpin,Kyivska,2,45.968323,29.928562,collision,2,2,storm,Opendatabot
155,6/24/2020 2:52,Kharkiv,Kharkivska,1,46.173804,22.293894,other,2,2,snow,Opendatabot
156,9/20/2021 9:10,Sokal,Lvivska,3,50.69333,29.209062,hit_and_run,2,2,rain,OSM
157,3/17/2022 23:39,Kharkiv,Kharkivska,2,49.36621,30.646367,other,0,3,fog,Telegram
158,1/7/2020 16:16,Obukhiv,Kyivska,3,49.928239,31.726271,hit_and_run,5,3,clear,Opendatabot
159,3/2/2019 9:55,Obukhiv,Kyivska,1,50.004595,25.207658,rollover,1,2,clear,Opendatabot
160,8/7/2019 10:35,Haisyn,Vinnytska,3,49.939254,34.920394,collision,0,3,rain,Opendatabot
161,5/13/2023 23:46,Kamianske,Dniprovska,3,50.562201,30.412203,collision,3,3,storm,Telegram
162,6/20/2020 22:00,Sokal,Lvivska,2,46.852693,24.057071,hit_and_run,1,2,snow,Telegram
163,8/28/2025 2:58,Irpin,Kyivska,2,45.611692,32.943094,rollover,1,3,snow,OSM
164,2/24/2024 3:05,Berehove,Zakarpatska,1,46.297355,36.758098,pedestrian,4,4,fog,OSM
165,3/11/2019 6:49,Irpin,Kyivska,3,50.599366,23.946027,collision,3,3,fog,OSM
166,9/15/2022 18:30,Vinnytsia,Vinnytska,1,49.687453,30.07344,pedestrian,5,1,fog,Telegram
167,1/13/2023 2:22,Mukachevo,Zakarpatska,1,50.874392,35.40568,rollover,3,1,rain,OSM
168,12/25/2019 20:53,Kamianske,Dniprovska,2,45.607036,29.371531,collision,2,3,clear,OSM
169,3/22/2022 15:42,Kamianske,Dniprovska,1,50.156638,37.071624,other,0,2,storm,OSM
170,4/14/2025 3:51,Mukachevo,Zakarpatska,1,49.364315,39.443553,pedestrian,3,2,rain,Opendatabot
171,8/27/2022 7:33,Lozova,Kharkivska,3,49.323759,28.686073,other,0,2,snow,OSM
172,8/16/2024 18:33,Zhmerynka,Vinnytska,3,51.235431,38.192865,hit_and_run,2,1,storm,Opendatabot
173,5/30/2024 17:40,Lviv,Lvivska,2,47.167745,31.299635,rollover,3,4,storm,Opendatabot
174,3/6/2019 13:04,Kamianske,Dniprovska,3,46.852717,25.711486,rollover,2,4,clear,Telegram
175,6/21/2020 7:23,Obukhiv,Kyivska,1,47.892061,30.319569,pedestrian,5,4,snow,Opendatabot
176,10/28/2020 14:08,Haisyn,Vinnytska,3,52.367776,23.156258,rollover,2,1,storm,Telegram
177,3/10/2024 17:44,Vinnytsia,Vinnytska,2,46.624489,24.707131,other,3,3,snow,OSM
178,4/7/2022 10:54,Vinnytsia,Vinnytska,2,52.232915,32.506373,collision,0,4,clear,Opendatabot
179,4/2/2019 5:35,Novomoskovsk,Dniprovska,2,48.654857,37.918605,pedestrian,0,1,storm,Telegram
180,3/4/2024 19:55,Kamianske,Dniprovska,1,47.750107,39.07669,hit_and_run,5,3,rain,OSM
181,8/30/2025 8:20,Lozova,Kharkivska,2,49.977879,32.180353,pedestrian,2,4,snow,OSM
182,7/16/2021 10:05,Odesa,Odeska,1,46.70417,24.69595,rollover,2,2,fog,Opendatabot
183,7/18/2019 22:53,Lozova,Kharkivska,2,46.044807,39.008074,other,1,3,clear,Telegram
184,11/5/2024 9:53,Uzhhorod,Zakarpatska,3,45.067726,34.242469,hit_and_run,5,2,snow,Telegram
185,7/19/2022 1:03,Kharkiv,Kharkivska,1,48.185413,29.660369,pedestrian,4,2,storm,Telegram
186,4/1/2022 7:30,Dnipro,Dniprovska,3,48.830641,36.9654,other,4,3,fog,Telegram
187,5/10/2023 9:41,Kharkiv,Kharkivska,2,46.226198,26.802175,pedestrian,0,3,storm,Opendatabot
188,11/27/2022 6:40,Sokal,Lvivska,1,49.891169,22.578204,rollover,5,4,fog,OSM
189,5/8/2020 0:16,Sokal,Lvivska,2,52.035249,28.361705,collision,1,1,storm,OSM
190,12/19/2023 1:04,Brovary,Kyivska,1,45.308014,30.698038,pedestrian,3,4,clear,Opendatabot
191,12/9/2023 11:56,Vinnytsia,Vinnytska,1,45.231982,27.602534,other,4,3,snow,Telegram
192,9/7/2022 23:43,Lozova,Kharkivska,1,48.828975,29.101519,other,3,3,storm,OSM
193,7/5/2020 14:49,Lviv,Lvivska,2,51.172136,31.643857,hit_and_run,3,4,storm,Opendatabot
194,2/28/2019 6:12,Kharkiv,Kharkivska,1,52.217516,29.203779,hit_and_run,3,4,snow,Telegram
195,5/10/2023 2:31,Kamianske,Dniprovska,3,49.387691,25.680414,pedestrian,2,2,rain,Opendatabot
196,1/15/2019 6:47,Mukachevo,Zakarpatska,2,45.486877,32.34108,collision,3,1,fog,Opendatabot
197,3/13/2023 3:55,Chuhuiv,Kharkivska,2,44.973028,30.786276,collision,5,1,rain,Telegram
198,11/24/2025 14:13,Kharkiv,Kharkivska,2,49.710364,28.212058,other,0,1,rain,OSM
199,4/18/2025 12:06,Zolochiv,Lvivska,2,46.348623,30.001334,other,5,4,rain,OSM
200,2/12/2021 11:58,Chuhuiv,Kharkivska,2,51.18762,23.380275,pedestrian,5,1,fog,Telegram
201,2/26/2020 14:59,Sokal,Lvivska,1,50.733212,31.387628,rollover,5,2,snow,Opendatabot
202,6/28/2024 18:03,Zolochiv,Lvivska,3,48.426102,35.765798,hit_and_run,1,3,fog,OSM
203,3/18/2021 16:58,Uzhhorod,Zakarpatska,1,44.69537,22.249084,pedestrian,0,3,snow,OSM
204,6/11/2024 18:12,Lozova,Kharkivska,1,46.737712,26.1286,collision,0,2,storm,Opendatabot
205,7/12/2024 10:25,Zolochiv,Lvivska,2,50.948422,39.412888,collision,4,1,rain,OSM
206,7/24/2020 1:14,Kamianske,Dniprovska,1,51.968889,37.128139,rollover,0,4,clear,OSM
207,7/8/2023 12:33,Obukhiv,Kyivska,1,45.067547,22.031553,collision,3,1,rain,Opendatabot
208,1/1/2020 8:33,Zolochiv,Lvivska,3,48.131815,26.40977,other,3,3,storm,Telegram
209,10/20/2024 8:51,Irpin,Kyivska,1,47.12305,37.178878,other,4,3,clear,Telegram
210,8/20/2024 0:37,Mukachevo,Zakarpatska,2,50.880382,32.488399,rollover,0,1,snow,Telegram
211,3/29/2020 8:51,Obukhiv,Kyivska,1,51.648438,32.546657,collision,0,2,storm,OSM
212,4/5/2024 8:26,Sokal,Lvivska,2,46.514166,25.484745,rollover,3,2,fog,Telegram
213,8/7/2022 19:44,Haisyn,Vinnytska,3,47.972639,33.434142,collision,4,2,clear,OSM
214,3/23/2022 16:02,Chuhuiv,Kharkivska,2,52.202372,22.733642,collision,0,3,clear,OSM
215,10/20/2020 22:31,Zolochiv,Lvivska,1,47.937314,22.28792,hit_and_run,0,1,rain,Opendatabot
216,3/17/2019 14:21,Dnipro,Dniprovska,3,45.605525,36.570315,hit_and_run,3,3,clear,Telegram
217,2/10/2024 7:19,Lozova,Kharkivska,1,45.631788,25.606024,pedestrian,1,1,storm,Opendatabot
218,9/7/2024 6:04,Dnipro,Dniprovska,2,50.425162,34.509962,collision,0,3,fog,Telegram
219,5/4/2019 0:37,Kharkiv,Kharkivska,2,52.114049,23.423831,collision,5,3,storm,Opendatabot
220,1/7/2020 7:57,Dnipro,Dniprovska,3,47.440599,35.562377,collision,3,1,storm,OSM
221,7/1/2021 18:21,Kamianske,Dniprovska,2,48.904272,32.971517,collision,1,2,storm,Opendatabot
222,11/28/2023 15:23,Lozova,Kharkivska,3,49.833461,26.985559,rollover,3,1,rain,Telegram
223,12/4/2022 6:11,Haisyn,Vinnytska,2,49.933939,36.451895,other,1,4,storm,Telegram
224,2/11/2020 19:10,Kharkiv,Kharkivska,1,50.178727,39.214037,pedestrian,3,3,clear,OSM
225,8/12/2023 14:02,Haisyn,Vinnytska,3,46.811455,37.370933,other,4,2,snow,Telegram
226,10/26/2021 8:16,Uzhhorod,Zakarpatska,3,51.334734,36.901653,other,2,3,storm,OSM
227,9/12/2020 1:55,Obukhiv,Kyivska,1,50.245161,24.088621,hit_and_run,3,1,clear,Opendatabot
228,2/10/2020 20:46,Irpin,Kyivska,1,49.797785,35.825446,rollover,2,1,clear,Opendatabot
229,2/12/2024 21:04,Odesa,Odeska,2,51.229552,32.139232,hit_and_run,5,4,snow,OSM
230,4/25/2023 16:07,Chuhuiv,Kharkivska,2,46.0957,27.516836,pedestrian,4,2,rain,OSM
231,6/14/2024 1:18,Bilhorod-Dnistrovskyi,Odeska,3,49.928401,34.884803,other,3,1,clear,Opendatabot
232,6/15/2021 22:14,Odesa,Odeska,3,50.936067,25.591098,pedestrian,4,2,fog,Telegram
233,10/1/2020 13:57,Uzhhorod,Zakarpatska,3,51.60882,32.928947,collision,4,2,rain,Opendatabot
234,12/12/2023 12:52,Zolochiv,Lvivska,2,49.257974,33.342246,rollover,2,3,rain,Telegram
235,9/23/2019 1:01,Mukachevo,Zakarpatska,3,50.862304,31.677787,other,3,3,rain,OSM
236,11/9/2019 0:56,Sokal,Lvivska,2,50.517844,32.778575,collision,0,1,fog,Telegram
237,9/8/2023 20:34,Berehove,Zakarpatska,1,50.401365,27.263133,rollover,2,3,clear,Telegram
238,2/21/2021 14:25,Odesa,Odeska,3,50.913269,36.433166,hit_and_run,1,4,snow,Telegram
239,6/30/2020 22:39,Zhmerynka,Vinnytska,2,49.545399,27.717376,rollover,4,4,fog,Opendatabot
240,5/14/2025 18:15,Kharkiv,Kharkivska,2,51.796681,23.155537,hit_and_run,3,1,rain,Opendatabot
241,9/24/2020 8:29,Kamianske,Dniprovska,1,44.25005,31.977108,hit_and_run,2,2,fog,Opendatabot
242,6/5/2019 10:19,Uzhhorod,Zakarpatska,3,51.59482,37.483184,other,2,4,fog,Telegram
243,6/14/2020 2:53,Vinnytsia,Vinnytska,2,48.90292,26.570215,rollover,1,3,fog,Telegram
244,11/26/2022 8:25,Odesa,Odeska,1,50.631507,33.182602,pedestrian,3,4,storm,OSM
245,6/25/2023 16:55,Haisyn,Vinnytska,3,49.231086,26.825928,rollover,2,3,snow,Opendatabot
246,6/3/2021 9:35,Haisyn,Vinnytska,2,47.86034,23.49043,collision,2,3,clear,Opendatabot
247,5/4/2023 14:55,Vinnytsia,Vinnytska,2,47.722645,38.130757,other,4,4,storm,OSM
248,11/13/2024 22:10,Odesa,Odeska,2,52.364304,24.847805,other,5,3,storm,Opendatabot
249,2/18/2025 2:45,Lozova,Kharkivska,1,49.318021,32.54074,collision,1,4,storm,Opendatabot
250,12/8/2025 22:06,Kamianske,Dniprovska,1,51.735933,24.758071,collision,4,4,storm,Telegram
251,10/16/2019 2:58,Sokal,Lvivska,2,44.293684,31.460196,collision,3,1,snow,Opendatabot
